unit,hlth_pb,age,sex,time\geo;EU27 ;BE ;BG ;CZ ;DK ;DE ;EE ;EL ;ES ;FR ;IT ;CY ;LV ;LT ;LU ;HU ;MT ;NL ;AT ;PL ;PT ;RO ;SI ;SK ;FI ;SE ;UK ;EEA ;IS ;NO 
THS,PB2010,Y15-44,F,2012;5872.9 e;192.2 ;64.3 ;31.8 u;123.1 ;1048.4 ;20.6 ;61.5 ;697.4 ;888.0 ;215.5 ;15.3 ;23.4 ;38.3 ;9.2 ;83.1 ;2.7 u;286.6 ;125.8 ;393.5 ;118.0 ;97.9 ;28.0 ;56.2 ;76.9 ;190.1 ;985.1 ;5981.5 e;8.8 ;99.8 
THS,PB2010,Y15-44,M,2012;4122.6 e;130.1 ;51.6 ;16.1 u;71.7 ;760.1 ;22.1 ;39.3 ;425.8 ;664.7 ;180.2 ;7.8 ;21.0 ;32.1 ;5.3 ;73.1 ;1.5 u;126.3 ;57.3 ;279.9 ;78.5 ;110.6 ;21.5 ;98.7 ;65.9 ;125.5 ;655.6 ;4196.3 e;6.7 ;67.0 
THS,PB2010,Y15-44,T,2012;9995.5 e;322.3 ;115.9 ;47.8 u;194.8 ;1808.5 ;42.8 ;100.8 ;1123.3 ;1552.8 ;395.7 ;23.1 ;44.4 ;70.5 ;14.5 ;156.2 ;4.2 u;412.9 ;183.1 ;673.4 ;196.5 ;208.4 ;49.5 ;154.9 ;142.9 ;315.6 ;1640.8 ;10177.8 e;15.5 ;166.8 
THS,PB2010,Y45-64,F,2012;16490.1 e;517.2 ;282.8 ;97.7 ;214.0 ;2853.0 ;64.3 ;265.9 ;1979.0 ;2576.2 ;1029.4 ;51.4 ;77.0 ;98.6 ;19.5 ;347.5 ;9.3 ;475.1 ;266.0 ;1434.2 ;408.0 ;510.8 ;74.2 ;357.4 ;213.4 ;347.8 ;1920.1 ;16681.1 e;14.7 ;176.4 
THS,PB2010,Y45-64,M,2012;9940.7 e;221.1 ;182.9 ;57.2 ;154.5 ;2278.2 ;36.3 ;81.9 ;895.3 ;1496.0 ;501.4 ;24.5 ;35.4 ;58.6 ;11.7 ;255.2 ;4.4 ;229.8 ;134.5 ;896.5 ;193.2 ;394.9 ;44.2 ;169.3 ;145.4 ;158.2 ;1280.3 ;10056.6 e;5.9 ;110.0 
THS,PB2010,Y45-64,T,2012;26430.7 e;738.3 ;465.7 ;154.9 ;368.4 ;5131.2 ;100.5 ;347.8 ;2874.3 ;4072.2 ;1530.9 ;75.9 ;112.4 ;157.2 ;31.2 ;602.7 ;13.7 ;704.9 ;400.5 ;2330.7 ;601.2 ;905.8 ;118.4 ;526.7 ;358.8 ;505.9 ;3200.4 ;26737.7 e;20.5 ;286.4 
THS,PB2010,Y_GE15,F,2012;41864.6 e;1071.0 ;660.0 ;304.2 ;512.7 ;7172.8 ;145.5 ;784.3 ;5085.7 ;5918.7 ;3600.9 ;96.8 ;202.4 ;274.4 ;46.4 ;918.3 ;23.0 ;1054.3 ;674.2 ;3501.2 ;966.2 ;1531.3 ;178.9 ;625.2 ;502.1 ;855.7 ;5158.7 ;42301.2 e;31.5 ;405.1 
THS,PB2010,Y_GE15,M,2012;22810.2 e;566.2 ;388.9 ;153.6 ;308.9 ;4647.4 ;74.4 ;272.4 ;2133.3 ;3377.8 ;1664.6 ;46.6 ;88.9 ;134.8 ;22.4 ;539.3 ;11.9 ;515.6 ;324.1 ;1804.1 ;475.2 ;1080.6 ;102.7 ;326.8 ;296.1 ;412.4 ;3041.1 ;23050.4 e;16.0 ;224.2 
THS,PB2010,Y_GE15,T,2012;64674.8 e;1637.2 ;1048.9 ;457.8 ;821.5 ;11820.1 ;219.9 ;1056.6 ;7219.0 ;9296.5 ;5265.5 ;143.4 ;291.3 ;409.2 ;68.8 ;1457.5 ;34.9 ;1569.9 ;998.3 ;5305.4 ;1441.4 ;2611.9 ;281.6 ;952.0 ;798.2 ;1268.0 ;8199.7 ;65351.6 e;47.5 ;629.3 
THS,PB2010,Y_GE65,F,2012;19501.7 e;361.6 ;312.9 ;174.8 ;175.6 ;3271.4 ;60.6 ;456.9 ;2409.2 ;2454.4 ;2356.0 ;30.1 ;102.0 ;137.4 ;17.6 ;487.7 ;11.0 ;292.6 ;282.4 ;1673.5 ;440.2 ;922.5 ;76.6 ;211.6 ;211.8 ;317.7 ;2253.4 ;19638.6 e;8.1 ;128.9 
THS,PB2010,Y_GE65,M,2012;8746.9 e;215.0 ;154.4 ;80.3 ;82.7 ;1609.0 ;16.0 ;151.2 ;812.2 ;1217.0 ;983.0 ;14.4 ;32.5 ;44.1 ;5.4 ;211.0 ;6.1 ;159.5 ;132.3 ;627.8 ;203.5 ;575.2 ;37.1 ;58.8 ;84.8 ;128.7 ;1105.1 ;8797.5 e;3.5 ;47.2 
THS,PB2010,Y_GE65,T,2012;28248.5 e;576.5 ;467.3 ;255.1 ;258.3 ;4880.4 ;76.6 ;608.0 ;3221.4 ;3671.5 ;3339.0 ;44.5 ;134.5 ;181.5 ;23.1 ;698.6 ;17.0 ;452.1 ;414.7 ;2301.3 ;643.7 ;1497.7 ;113.7 ;270.5 ;296.5 ;446.5 ;3358.5 ;28436.1 e;11.5 ;176.1 
THS,PB2020,Y15-44,F,2012;7461.1 e;301.7 ;84.2 ;49.0 ;132.5 ;1446.5 ;29.3 ;72.9 ;1022.8 ;868.2 ;268.1 ;11.8 ;40.3 ;59.3 ;7.2 ;92.1 ;2.8 ;400.5 ;151.2 ;573.8 ;112.0 ;144.1 ;28.3 ;121.4 ;92.0 ;240.1 ;1108.9 ;7590.2 e;12.2 ;116.9 
THS,PB2020,Y15-44,M,2012;6545.7 e;184.3 ;77.6 ;60.1 ;154.1 ;1493.0 ;33.8 ;47.6 ;760.9 ;822.9 ;247.5 ;11.6 ;32.1 ;51.0 ;11.0 ;112.9 ;3.6 ;224.6 ;108.1 ;410.1 ;105.2 ;145.4 ;32.9 ;166.8 ;79.2 ;207.6 ;962.0 ;6654.2 e;11.3 ;97.2 
THS,PB2020,Y15-44,T,2012;14006.8 e;486.0 ;161.8 ;109.1 ;286.7 ;2939.5 ;63.1 ;120.5 ;1783.7 ;1691.1 ;515.6 ;23.5 ;72.5 ;110.3 ;18.2 ;205.0 ;6.4 ;625.0 ;259.3 ;983.9 ;217.1 ;289.5 ;61.2 ;288.2 ;171.2 ;447.7 ;2070.9 ;14244.4 e;23.5 ;214.1 
THS,PB2020,Y45-64,F,2012;17855.2 e;452.2 ;333.4 ;190.3 ;255.4 ;3169.7 ;81.4 ;311.9 ;2062.5 ;2012.5 ;1090.7 ;41.9 ;117.1 ;148.9 ;18.1 ;391.0 ;13.6 ;534.0 ;227.4 ;1797.4 ;396.5 ;673.7 ;73.5 ;469.5 ;239.6 ;389.5 ;2363.3 ;18029.4 e;13.5 ;160.7 
THS,PB2020,Y45-64,M,2012;12688.9 e;249.2 ;272.8 ;120.2 ;201.5 ;2794.1 ;52.5 ;108.1 ;1243.2 ;1430.9 ;603.3 ;25.3 ;73.7 ;89.1 ;12.2 ;302.8 ;8.5 ;360.5 ;219.6 ;1324.5 ;227.9 ;566.5 ;71.1 ;247.2 ;156.3 ;206.7 ;1721.1 ;12800.1 e;8.1 ;103.0 
THS,PB2020,Y45-64,T,2012;30544.1 e;701.4 ;606.1 ;310.5 ;456.9 ;5963.8 ;133.9 ;420.0 ;3305.7 ;3443.4 ;1694.1 ;67.3 ;190.8 ;238.0 ;30.3 ;693.8 ;22.1 ;894.5 ;447.0 ;3122.0 ;624.4 ;1240.3 ;144.6 ;716.7 ;395.9 ;596.2 ;4084.4 ;30829.5 e;21.6 ;263.8 
THS,PB2020,Y_GE15,F,2012;49187.2 e;1156.1 ;880.3 ;644.3 ;609.6 ;8868.3 ;205.3 ;1034.5 ;5802.3 ;5194.2 ;4607.1 ;90.2 ;319.2 ;417.7 ;42.8 ;1056.3 ;32.8 ;1342.1 ;727.5 ;4472.7 ;1040.6 ;1922.2 ;213.1 ;894.7 ;575.7 ;1055.6 ;5981.8 ;49641.1 e;36.1 ;417.7 
THS,PB2020,Y_GE15,M,2012;32495.7 e;747.4 ;602.7 ;419.3 ;505.6 ;6934.5 ;119.8 ;419.9 ;3327.3 ;3780.9 ;2381.7 ;56.2 ;162.6 ;224.5 ;31.0 ;695.7 ;21.9 ;864.8 ;493.1 ;2671.3 ;589.0 ;1479.5 ;163.4 ;520.1 ;403.2 ;648.0 ;4232.0 ;32790.3 e;26.4 ;268.2 
THS,PB2020,Y_GE15,T,2012;81682.9 e;1903.5 ;1482.9 ;1063.6 ;1115.2 ;15802.8 ;325.1 ;1454.3 ;9129.6 ;8975.2 ;6988.8 ;146.4 ;481.9 ;642.3 ;73.9 ;1752.0 ;54.7 ;2206.9 ;1220.6 ;7144.0 ;1629.5 ;3401.8 ;376.5 ;1414.9 ;978.9 ;1703.7 ;10213.9 ;82431.3 e;62.6 ;685.9 
THS,PB2020,Y_GE65,F,2012;23871.0 e;402.2 ;462.7 ;405.0 ;221.7 ;4252.0 ;94.6 ;649.6 ;2717.0 ;2313.6 ;3248.3 ;36.4 ;161.8 ;209.5 ;17.5 ;573.2 ;16.4 ;407.7 ;348.8 ;2101.5 ;532.1 ;1104.4 ;111.3 ;303.9 ;244.1 ;426.0 ;2509.6 ;24021.5 e;10.4 ;140.1 
THS,PB2020,Y_GE65,M,2012;13261.0 e;313.9 ;252.3 ;238.9 ;150.0 ;2647.5 ;33.5 ;264.2 ;1323.2 ;1527.2 ;1530.9 ;19.2 ;56.8 ;84.5 ;7.8 ;280.0 ;9.8 ;279.6 ;165.4 ;936.6 ;255.9 ;767.6 ;59.4 ;106.1 ;167.7 ;233.7 ;1549.0 ;13336.0 e;7.1 ;67.9 
